student_id,name,category,city,marks,attendance_status,attempt_number,exam_date
807,Arjun_807,SC,Jaipur,72,Present,1,18-01-2026
808,Anjali_808,SC,Bhopal,52,Present,3,09-02-2026
809,Kiran_809,OBC,Kolkata,0,Absent,1,01-02-2026
809,Kiran_809,OBC,Kolkata,0,Absent,1,01-02-2026
810,Rohit_810,OBC,Kolkata,85,Present,2,18-01-2026
811,Vikas_811,General,Lucknow,80,Present,3,11-02-2026
812,Kavita_812,SC,Delhi,0,Absent,3,04-02-2026
813,Divya_813,OBC,Lucknow,0,Absent,2,31-01-2026
814,Isha_814,OBC,Lucknow,0,Absent,2,06-02-2026
815,Arjun_815,General,Delhi,0,Absent,3,12-01-2026
816,Neha_816,EWS,Hyderabad,59,Present,2,02-01-2026
817,Harsh_817,General,Bhopal,88,Present,1,23-01-2026
818,Pooja_818,General,Chennai,0,Absent,3,16-01-2026
819,Sahil_819,OBC,Delhi,81,Present,3,20-02-2026
820,Meera_820,General,Kolkata,0,Absent,1,21-02-2026
821,Sneha_821,General,Bhopal,0,Absent,3,16-01-2026
822,Kunal_822,General,Bhopal,90,Present,3,23-01-2026
823,Kunal_823,SC,Bhopal,53,Present,3,23-01-2026
824,Vikas_824,General,Jaipur,0,Absent,1,23-02-2026
825,Komal_825,General,Mumbai,61,Present,1,03-01-2026
826,Anjali_826,OBC,Delhi,0,Absent,1,15-01-2026
827,Manish_827,SC,Bhopal,49,Present,1,28-02-2026
828,Manish_828,General,Bangalore,0,Absent,1,15-02-2026
829,Rahul_829,OBC,Bhopal,87,Present,1,10-01-2026
830,Meera_830,General,Pune,64,Present,2,03-02-2026
831,Kunal_831,OBC,Kolkata,89,Present,2,02-03-2026
831,Kunal_831,OBC,Kolkata,74,Present,2,02-03-2026
832,Kiran_832,General,Bangalore,68,Present,3,21-01-2026
833,Ritu_833,OBC,Jaipur,0,Absent,1,20-02-2026
834,Kunal_834,OBC,Bhopal,0,Absent,1,05-02-2026
835,Priya_835,OBC,Bangalore,0,Absent,2,07-02-2026
836,Simran_836,SC,Hyderabad,82,Present,1,14-02-2026
837,Simran_837,OBC,Bhopal,0,Absent,3,01-01-2026
838,Anita_838,OBC,Bhopal,0,Absent,3,12-01-2026
839,Neha_839,SC,Bhopal,35,Present,2,10-02-2026
840,Amit_840,General,Mumbai,82,Present,2,22-01-2026
841,Manish_841,General,Mumbai,0,Absent,2,11-01-2026
842,Rahul_842,General,Chennai,70,Present,3,17-01-2026
843,Rohit_843,OBC,Hyderabad,74,Present,3,23-01-2026
844,Rahul_844,General,Kolkata,0,Absent,3,04-01-2026
845,Ritu_845,OBC,Kolkata,0,Absent,2,11-01-2026
846,Divya_846,General,Kolkata,75,Present,2,04-02-2026
847,Kavita_847,SC,Bhopal,87,Present,1,25-02-2026
848,Nitin_848,OBC,Delhi,0,Absent,1,05-01-2026
849,Manish_849,General,Mumbai,53,Present,2,17-01-2026
850,Sneha_850,General,Kolkata,56,Present,3,26-02-2026
851,Rohit_851,General,Mumbai,0,Absent,3,05-02-2026
852,Anjali_852,OBC,Jaipur,82,Present,2,27-02-2026
853,Rakesh_853,General,Bhopal,0,Absent,1,11-01-2026
854,Anita_854,SC,Pune,69,Present,1,07-01-2026
855,Ritu_855,General,Lucknow,0,Absent,3,14-02-2026
856,Kiran_856,OBC,Chennai,90,Present,1,20-01-2026
857,Suresh_857,General,Lucknow,0,Absent,1,06-02-2026
858,Anita_858,OBC,Delhi,0,Absent,1,24-01-2026
859,Kiran_859,General,Bhopal,0,Absent,1,22-02-2026
860,Pooja_860,General,Chennai,82,Present,3,02-01-2026
861,Kiran_861,OBC,Jaipur,77,Present,2,06-01-2026
862,Kavita_862,OBC,Jaipur,0,Absent,3,26-01-2026
863,Arjun_863,EWS,Lucknow,0,Absent,1,06-01-2026
864,Divya_864,General,Kolkata,0,Absent,1,26-02-2026
865,Nitin_865,EWS,Hyderabad,0,Absent,2,03-01-2026
866,Arjun_866,SC,Hyderabad,60,Present,1,15-01-2026
867,Deepak_867,General,Mumbai,65,Present,3,14-02-2026
868,Divya_868,General,Lucknow,0,Absent,3,21-02-2026
869,Neha_869,EWS,Delhi,0,Absent,3,05-02-2026
870,Ritu_870,General,Jaipur,57,Present,2,04-02-2026
871,Kiran_871,General,Kolkata,75,Present,3,06-01-2026
872,Pradeep_872,OBC,Lucknow,73,Present,1,27-02-2026
873,Deepak_873,EWS,Bangalore,70,Present,1,29-01-2026
874,Kavita_874,General,Bangalore,64,Present,2,13-01-2026
875,Rohit_875,OBC,Kolkata,57,Present,3,13-02-2026
876,Amit_876,OBC,Bhopal,0,Absent,2,23-02-2026
877,Isha_877,OBC,Mumbai,73,Present,2,16-02-2026
878,Sunita_878,General,Lucknow,0,Absent,2,26-01-2026
879,Harsh_879,General,Delhi,0,Absent,1,30-01-2026
880,Ritu_880,General,Bangalore,64,Present,1,10-01-2026
881,Pradeep_881,SC,Mumbai,0,Absent,3,19-02-2026
882,Tarun_882,General,Kolkata,0,Absent,2,23-01-2026
882,Tarun_882,General,Kolkata,0,Absent,2,23-01-2026
883,Rakesh_883,SC,Bhopal,0,Absent,1,01-02-2026
884,Sneha_884,OBC,Kolkata,73,Present,3,18-01-2026
885,Anjali_885,OBC,Kolkata,70,Present,2,13-02-2026
886,Tarun_886,OBC,Pune,61,Present,1,26-02-2026
887,Simran_887,General,Hyderabad,0,Absent,1,31-01-2026
888,Manish_888,General,Hyderabad,0,Absent,2,22-02-2026
889,Sahil_889,OBC,Mumbai,62,Present,1,01-02-2026
890,Kiran_890,OBC,Jaipur,0,Absent,2,17-02-2026
891,Simran_891,SC,Bhopal,63,Present,1,27-01-2026
892,Nitin_892,SC,Kolkata,0,Absent,3,14-01-2026
893,Meera_893,General,Delhi,62,Present,1,24-01-2026
894,Kiran_894,General,Lucknow,0,Absent,1,15-02-2026
895,Deepak_895,SC,Lucknow,53,Present,1,24-02-2026
896,Vikas_896,SC,Chennai,73,Present,1,26-02-2026
897,Anita_897,SC,Delhi,0,Absent,3,30-01-2026
898,Vikas_898,OBC,Pune,0,Absent,3,18-01-2026
899,Suresh_899,EWS,Mumbai,71,Present,1,10-02-2026
900,Divya_900,EWS,Bhopal,0,Absent,1,01-02-2026
901,Meera_901,OBC,Bhopal,0,Absent,2,31-01-2026
902,Sneha_902,OBC,Hyderabad,71,Present,2,23-02-2026
903,Rahul_903,SC,Delhi,89,Present,3,25-01-2026
904,Deepak_904,EWS,Chennai,64,Present,3,14-01-2026
905,Vikas_905,General,Kolkata,48,Present,3,18-01-2026
906,Rahul_906,SC,Bangalore,74,Present,3,31-01-2026
907,Kavita_907,OBC,Chennai,0,Absent,3,01-01-2026
908,Kavita_908,General,Hyderabad,0,Absent,2,02-03-2026
909,Tarun_909,EWS,Pune,0,Absent,2,25-01-2026
910,Vikas_910,OBC,Hyderabad,0,Absent,3,30-01-2026
911,Pooja_911,SC,Lucknow,0,Absent,3,01-01-2026
912,Rakesh_912,EWS,Bhopal,0,Absent,2,08-02-2026
913,Priya_913,General,Jaipur,64,Present,2,07-01-2026
914,Arjun_914,SC,Pune,0,Absent,2,10-02-2026
915,Rakesh_915,OBC,Hyderabad,69,Present,1,15-02-2026
916,Harsh_916,OBC,Chennai,56,Present,3,18-02-2026
917,Suresh_917,General,Pune,74,Present,3,12-02-2026
918,Rahul_918,OBC,Jaipur,0,Absent,2,11-02-2026
919,Isha_919,EWS,Kolkata,0,Absent,3,27-01-2026
920,Anita_920,OBC,Bhopal,71,Present,2,07-02-2026
921,Simran_921,OBC,Chennai,0,Absent,3,15-02-2026
922,Divya_922,General,Hyderabad,68,Present,3,02-02-2026
923,Tarun_923,OBC,Bangalore,0,Absent,1,05-02-2026
924,Komal_924,SC,Hyderabad,74,Present,3,09-01-2026
925,Tarun_925,General,Mumbai,61,Present,2,22-01-2026
926,Neha_926,SC,Hyderabad,0,Absent,2,17-02-2026
927,Divya_927,SC,Bhopal,0,Absent,2,17-01-2026
928,Meera_928,General,Jaipur,76,Present,3,08-01-2026
929,Pradeep_929,OBC,Bhopal,69,Present,2,07-02-2026
930,Tarun_930,General,Lucknow,88,Present,3,13-01-2026
931,Suresh_931,OBC,Hyderabad,0,Absent,1,03-02-2026
932,Meera_932,General,Bangalore,84,Present,1,24-02-2026
933,Manish_933,OBC,Bhopal,0,Absent,1,27-01-2026
934,Manish_934,General,Bangalore,66,Present,2,25-02-2026
935,Manish_935,OBC,Bangalore,0,Absent,3,10-02-2026
936,Anita_936,OBC,Jaipur,0,Absent,1,01-01-2026
937,Deepak_937,General,Bangalore,70,Present,2,19-02-2026
938,Kavita_938,EWS,Mumbai,87,Present,3,18-02-2026
939,Ritu_939,OBC,Kolkata,0,Absent,2,10-02-2026
940,Komal_940,General,Delhi,61,Present,3,25-01-2026
941,Vikas_941,OBC,Pune,66,Present,2,16-02-2026
942,Deepak_942,SC,Lucknow,78,Present,1,23-02-2026
943,Priya_943,General,Chennai,89,Present,3,01-01-2026
944,Tarun_944,OBC,Hyderabad,85,Present,1,23-01-2026
945,Suresh_945,General,Bhopal,0,Absent,1,02-02-2026
946,Rohit_946,EWS,Delhi,0,Absent,2,22-02-2026
947,Nitin_947,SC,Lucknow,0,Absent,2,16-02-2026
948,Tarun_948,OBC,Bangalore,0,Absent,2,13-02-2026
949,Divya_949,General,Chennai,75,Present,2,18-02-2026
950,Rahul_950,OBC,Chennai,80,Present,1,15-01-2026
951,Simran_951,General,Bhopal,49,Present,1,02-01-2026
952,Divya_952,SC,Delhi,0,Absent,3,15-02-2026
953,Arjun_953,OBC,Lucknow,75,Present,3,19-02-2026
954,Anita_954,General,Mumbai,71,Present,1,12-02-2026
955,Kunal_955,General,Kolkata,0,Absent,2,08-01-2026
956,Pooja_956,SC,Hyderabad,0,Absent,3,05-02-2026
957,Amit_957,General,Delhi,0,Absent,2,14-01-2026
958,Priya_958,SC,Lucknow,0,Absent,3,07-01-2026
959,Anjali_959,General,Bangalore,0,Absent,1,14-02-2026
960,Harsh_960,General,Bhopal,65,Present,2,16-02-2026
961,Pooja_961,SC,Mumbai,0,Absent,1,20-02-2026
962,Anjali_962,OBC,Hyderabad,63,Present,2,13-01-2026
963,Kunal_963,General,Hyderabad,47,Present,1,27-01-2026
964,Sunita_964,OBC,Chennai,0,Absent,2,01-02-2026
965,Neha_965,General,Delhi,85,Present,1,01-01-2026
966,Sahil_966,General,Jaipur,60,Present,1,06-02-2026
967,Deepak_967,EWS,Mumbai,77,Present,2,02-02-2026
968,Rakesh_968,OBC,Jaipur,0,Absent,2,15-01-2026
969,Nitin_969,SC,Mumbai,81,Present,1,04-01-2026
970,Meera_970,General,Pune,0,Absent,2,19-01-2026
971,Simran_971,OBC,Mumbai,62,Present,1,08-01-2026
972,Meera_972,SC,Bangalore,0,Absent,2,09-01-2026
973,Tarun_973,OBC,Bhopal,0,Absent,3,29-01-2026
974,Rohit_974,SC,Pune,80,Present,1,24-01-2026
975,Suresh_975,SC,Jaipur,0,Absent,2,26-01-2026
976,Kunal_976,General,Jaipur,0,Absent,3,24-02-2026
976,Kunal_976,General,Jaipur,0,Absent,3,24-02-2026
977,Tarun_977,General,Bangalore,94,Present,1,21-02-2026
978,Kunal_978,OBC,Delhi,67,Present,1,16-02-2026
979,Ritu_979,SC,Bhopal,0,Absent,3,28-02-2026
980,Priya_980,OBC,Bangalore,0,Absent,2,29-01-2026
981,Anjali_981,OBC,Bangalore,0,Absent,2,02-01-2026
982,Pooja_982,OBC,Kolkata,0,Absent,1,26-02-2026
983,Rohit_983,General,Pune,68,Present,3,17-01-2026
984,Meera_984,OBC,Lucknow,40,Present,3,13-02-2026
985,Meera_985,EWS,Lucknow,95,Present,2,22-01-2026
986,Priya_986,OBC,Chennai,0,Absent,2,16-02-2026
987,Priya_987,OBC,Kolkata,70,Present,3,13-02-2026
988,Tarun_988,General,Delhi,69,Present,3,09-02-2026
989,Isha_989,OBC,Lucknow,0,Absent,2,11-01-2026
990,Meera_990,General,Mumbai,0,Absent,2,11-01-2026
991,Neha_991,OBC,Hyderabad,60,Present,3,22-01-2026
992,Neha_992,OBC,Kolkata,0,Absent,1,05-02-2026
993,Rohit_993,General,Jaipur,0,Absent,1,30-01-2026
994,Meera_994,OBC,Jaipur,0,Absent,1,01-02-2026
995,Komal_995,OBC,Delhi,76,Present,2,17-02-2026
996,Ritu_996,General,Lucknow,69,Present,1,03-01-2026
997,Kavita_997,General,Bhopal,0,Absent,3,08-02-2026
998,Sunita_998,General,Jaipur,0,Absent,2,14-01-2026
999,Sahil_999,OBC,Chennai,0,Absent,2,04-01-2026
1000,Sunita_1000,OBC,Bhopal,0,Absent,3,19-02-2026
1001,Priya_1001,EWS,Jaipur,66,Present,1,24-01-2026
1002,Deepak_1002,General,Chennai,63,Present,2,12-02-2026
1003,Divya_1003,General,Hyderabad,0,Absent,3,23-02-2026
1004,Pooja_1004,OBC,Bangalore,0,Absent,1,03-01-2026
1005,Sahil_1005,OBC,Kolkata,83,Present,2,15-02-2026
1006,Anjali_1006,EWS,Chennai,64,Present,2,13-01-2026
1007,Vikas_1007,SC,Chennai,0,Absent,1,30-01-2026
1008,Deepak_1008,OBC,Delhi,64,Present,2,27-01-2026
1009,Nitin_1009,General,Bhopal,61,Present,2,12-02-2026
1010,Rahul_1010,General,Delhi,0,Absent,3,03-02-2026
1011,Komal_1011,General,Lucknow,93,Present,3,01-03-2026
1012,Pradeep_1012,General,Bangalore,65,Present,2,12-01-2026
1013,Priya_1013,General,Bhopal,0,Absent,3,08-02-2026
1014,Tarun_1014,OBC,Kolkata,69,Present,2,25-01-2026
1015,Suresh_1015,OBC,Hyderabad,0,Absent,1,22-01-2026
1016,Amit_1016,General,Bhopal,0,Absent,3,27-01-2026
1017,Sunita_1017,OBC,Pune,74,Present,1,25-02-2026
1018,Vikas_1018,SC,Hyderabad,0,Absent,3,09-02-2026
1019,Amit_1019,OBC,Bangalore,0,Absent,3,15-02-2026
1020,Pooja_1020,General,Pune,0,Absent,3,18-02-2026
1021,Pradeep_1021,General,Kolkata,0,Absent,2,02-03-2026
1022,Kavita_1022,OBC,Lucknow,63,Present,1,01-01-2026
1023,Suresh_1023,OBC,Delhi,46,Present,1,10-01-2026
1024,Arjun_1024,OBC,Bangalore,0,Absent,3,18-02-2026
1025,Arjun_1025,OBC,Delhi,0,Absent,1,10-01-2026
1026,Deepak_1026,General,Delhi,0,Absent,2,04-02-2026
1027,Pooja_1027,OBC,Lucknow,59,Present,3,09-02-2026
1028,Rakesh_1028,SC,Kolkata,57,Present,3,05-02-2026
1029,Kavita_1029,General,Hyderabad,78,Present,2,20-02-2026
1030,Suresh_1030,SC,Pune,78,Present,1,27-01-2026
1031,Simran_1031,EWS,Chennai,0,Absent,1,17-01-2026
1032,Isha_1032,OBC,Pune,62,Present,3,10-02-2026
1033,Vikas_1033,General,Jaipur,81,Present,3,19-01-2026
1034,Rohit_1034,OBC,Bangalore,82,Present,2,12-01-2026
1035,Anita_1035,General,Hyderabad,0,Absent,1,28-01-2026
1036,Sneha_1036,General,Hyderabad,56,Present,2,07-02-2026
1037,Nitin_1037,SC,Bangalore,59,Present,1,15-02-2026
1038,Isha_1038,General,Bhopal,66,Present,3,21-01-2026
1039,Anjali_1039,OBC,Hyderabad,0,Absent,3,23-02-2026
1040,Sunita_1040,General,Mumbai,0,Absent,3,23-01-2026
1041,Neha_1041,General,Lucknow,86,Present,3,12-01-2026
1042,Sneha_1042,OBC,Lucknow,0,Absent,1,27-01-2026
1043,Divya_1043,General,Chennai,0,Absent,2,15-01-2026
1044,Divya_1044,General,Chennai,0,Absent,3,19-01-2026
1045,Sahil_1045,OBC,Delhi,72,Present,3,18-02-2026
1046,Divya_1046,EWS,Chennai,65,Present,1,29-01-2026
1047,Priya_1047,General,Pune,0,Absent,1,26-02-2026
1048,Suresh_1048,General,Lucknow,0,Absent,1,17-01-2026
1049,Isha_1049,SC,Pune,0,Absent,2,03-02-2026
1050,Anita_1050,EWS,Chennai,0,Absent,3,19-01-2026
1051,Rohit_1051,General,Mumbai,70,Present,3,02-03-2026
1052,Sunita_1052,SC,Mumbai,74,Present,3,01-01-2026
1053,Rakesh_1053,OBC,Chennai,0,Absent,1,19-02-2026
1054,Vikas_1054,General,Kolkata,52,Present,3,04-02-2026
1055,Priya_1055,OBC,Delhi,0,Absent,3,10-01-2026
1056,Manish_1056,OBC,Mumbai,56,Present,1,03-01-2026
1057,Sneha_1057,SC,Hyderabad,69,Present,3,20-02-2026
1058,Sahil_1058,General,Hyderabad,0,Absent,2,15-01-2026
1059,Nitin_1059,General,Kolkata,0,Absent,2,10-02-2026
1060,Rahul_1060,EWS,Mumbai,60,Present,3,25-01-2026
1061,Simran_1061,OBC,Mumbai,84,Present,3,09-02-2026
1062,Meera_1062,General,Pune,48,Present,2,05-01-2026
1063,Kavita_1063,General,Hyderabad,69,Present,2,13-02-2026
1064,Deepak_1064,General,Jaipur,0,Absent,2,01-03-2026
1064,Deepak_1064,General,Jaipur,0,Absent,2,01-03-2026
1065,Sahil_1065,EWS,Delhi,0,Absent,1,12-02-2026
1066,Sunita_1066,OBC,Bangalore,0,Absent,3,15-01-2026
1067,Kiran_1067,OBC,Bangalore,0,Absent,3,10-02-2026
1068,Tarun_1068,General,Pune,55,Present,3,28-02-2026
1069,Meera_1069,OBC,Bangalore,52,Present,1,05-02-2026
1070,Rahul_1070,EWS,Bhopal,0,Absent,3,06-02-2026
1071,Sunita_1071,EWS,Mumbai,0,Absent,1,02-03-2026
1072,Simran_1072,SC,Pune,79,Present,2,17-02-2026
1073,Tarun_1073,General,Lucknow,67,Present,1,11-02-2026
1074,Sneha_1074,SC,Bhopal,0,Absent,1,15-01-2026
1075,Pooja_1075,General,Bhopal,70,Present,3,12-01-2026
1076,Nitin_1076,EWS,Lucknow,56,Present,2,11-02-2026
1077,Priya_1077,OBC,Hyderabad,75,Present,1,05-01-2026
1078,Simran_1078,General,Jaipur,0,Absent,2,07-02-2026
1079,Amit_1079,General,Chennai,80,Present,2,12-02-2026
1080,Anjali_1080,General,Chennai,0,Absent,2,05-01-2026
1081,Nitin_1081,OBC,Bhopal,0,Absent,3,22-01-2026
1081,Nitin_1081,OBC,Bhopal,0,Absent,3,22-01-2026
1082,Pradeep_1082,SC,Bhopal,0,Absent,2,10-01-2026
1083,Ritu_1083,EWS,Delhi,0,Absent,1,11-01-2026
1084,Kavita_1084,SC,Kolkata,0,Absent,2,15-01-2026
1085,Amit_1085,OBC,Pune,0,Absent,2,13-02-2026
1086,Nitin_1086,SC,Hyderabad,0,Absent,3,23-01-2026
1087,Pooja_1087,General,Bhopal,70,Present,2,12-01-2026
1088,Meera_1088,OBC,Bangalore,85,Present,2,22-02-2026
1089,Simran_1089,OBC,Mumbai,75,Present,1,26-02-2026
1090,Meera_1090,OBC,Delhi,0,Absent,3,02-02-2026
1091,Vikas_1091,OBC,Delhi,0,Absent,3,28-02-2026
1092,Tarun_1092,General,Jaipur,62,Present,2,04-02-2026
1093,Suresh_1093,SC,Bhopal,0,Absent,1,15-01-2026
1094,Nitin_1094,EWS,Lucknow,63,Present,2,02-02-2026
1095,Divya_1095,General,Delhi,65,Present,3,02-02-2026
1096,Priya_1096,General,Lucknow,83,Present,2,11-01-2026
1097,Sneha_1097,OBC,Bhopal,78,Present,3,12-01-2026
1098,Simran_1098,General,Pune,81,Present,1,31-01-2026
1099,Deepak_1099,SC,Chennai,81,Present,2,01-02-2026
1100,Divya_1100,SC,Delhi,87,Present,3,15-01-2026
1101,Isha_1101,SC,Pune,0,Absent,2,20-02-2026
1102,Isha_1102,OBC,Delhi,74,Present,3,30-01-2026
1103,Manish_1103,General,Lucknow,0,Absent,3,07-01-2026
1104,Arjun_1104,General,Lucknow,50,Present,2,07-02-2026
1105,Rakesh_1105,General,Pune,73,Present,3,25-01-2026
1106,Arjun_1106,EWS,Chennai,0,Absent,2,25-01-2026
1107,Sahil_1107,General,Pune,0,Absent,2,25-02-2026
1108,Tarun_1108,General,Delhi,79,Present,2,08-02-2026
1109,Sneha_1109,General,Mumbai,0,Absent,1,15-01-2026
1110,Amit_1110,OBC,Bangalore,0,Absent,3,12-01-2026
1111,Kunal_1111,General,Mumbai,69,Present,2,22-02-2026
1112,Kavita_1112,General,Mumbai,0,Absent,3,22-01-2026
1113,Komal_1113,General,Chennai,83,Present,3,31-01-2026
1114,Sahil_1114,EWS,Delhi,63,Present,1,27-01-2026
1115,Amit_1115,General,Bhopal,68,Present,1,06-02-2026
1116,Rakesh_1116,OBC,Delhi,80,Present,1,02-02-2026
1117,Sneha_1117,General,Bangalore,0,Absent,3,17-01-2026
1118,Pradeep_1118,OBC,Delhi,0,Absent,1,10-02-2026
1119,Vikas_1119,General,Bhopal,0,Absent,2,29-01-2026
1120,Sneha_1120,SC,Kolkata,76,Present,3,15-01-2026
1121,Sahil_1121,OBC,Bangalore,0,Absent,1,19-02-2026
1121,Sahil_1121,OBC,Bangalore,0,Absent,1,19-02-2026
1122,Simran_1122,OBC,Pune,0,Absent,3,13-02-2026
1123,Pradeep_1123,General,Chennai,0,Absent,2,05-01-2026
1124,Amit_1124,OBC,Delhi,82,Present,3,07-01-2026
1125,Meera_1125,SC,Lucknow,0,Absent,1,28-02-2026
1126,Anjali_1126,OBC,Bangalore,0,Absent,3,07-01-2026
1127,Anjali_1127,General,Lucknow,62,Present,1,03-01-2026
1128,Komal_1128,OBC,Bangalore,83,Present,3,12-02-2026
1129,Rakesh_1129,General,Lucknow,0,Absent,2,28-01-2026
1130,Meera_1130,General,Lucknow,0,Absent,1,03-01-2026
1131,Kavita_1131,OBC,Kolkata,0,Absent,3,31-01-2026
1132,Kavita_1132,General,Bhopal,72,Present,2,17-02-2026
1133,Amit_1133,OBC,Jaipur,60,Present,1,17-01-2026
1134,Kiran_1134,General,Lucknow,0,Absent,2,08-02-2026
1135,Vikas_1135,General,Delhi,81,Present,3,01-01-2026
1136,Rahul_1136,General,Chennai,0,Absent,2,25-01-2026
1137,Divya_1137,SC,Bangalore,0,Absent,3,07-01-2026
1138,Pradeep_1138,EWS,Hyderabad,0,Absent,3,17-01-2026
1139,Divya_1139,General,Hyderabad,0,Absent,1,09-02-2026
1140,Ritu_1140,General,Lucknow,0,Absent,1,05-02-2026
1141,Divya_1141,OBC,Lucknow,0,Absent,2,05-02-2026
1142,Kiran_1142,OBC,Pune,0,Absent,3,06-02-2026
1143,Amit_1143,EWS,Mumbai,58,Present,2,24-02-2026
1144,Kavita_1144,General,Bangalore,85,Present,1,14-02-2026
1145,Harsh_1145,SC,Pune,66,Present,1,26-01-2026
1146,Suresh_1146,General,Delhi,73,Present,1,10-02-2026
1147,Komal_1147,EWS,Bhopal,0,Absent,1,01-03-2026
1148,Rohit_1148,OBC,Chennai,0,Absent,1,17-01-2026
1149,Anjali_1149,General,Kolkata,0,Absent,3,03-01-2026
1150,Rakesh_1150,General,Hyderabad,53,Present,1,03-02-2026
1151,Rakesh_1151,SC,Jaipur,88,Present,1,01-02-2026
1152,Meera_1152,SC,Lucknow,0,Absent,1,12-02-2026
1153,Anita_1153,General,Bhopal,67,Present,3,20-02-2026
1154,Sneha_1154,SC,Delhi,0,Absent,1,13-02-2026
1155,Rakesh_1155,General,Bangalore,84,Present,2,01-01-2026
1156,Deepak_1156,General,Pune,0,Absent,2,26-01-2026
1157,Pradeep_1157,General,Lucknow,88,Present,3,13-01-2026
1158,Kunal_1158,General,Mumbai,0,Absent,3,05-01-2026
1159,Sahil_1159,OBC,Bhopal,0,Absent,2,05-02-2026
1160,Sahil_1160,General,Chennai,62,Present,2,18-01-2026
1161,Isha_1161,SC,Bhopal,60,Present,2,26-01-2026
1162,Sneha_1162,General,Lucknow,53,Present,3,27-01-2026
1163,Rohit_1163,General,Hyderabad,0,Absent,1,02-02-2026
1164,Kavita_1164,SC,Hyderabad,0,Absent,3,02-02-2026
1165,Nitin_1165,General,Bhopal,0,Absent,1,25-01-2026
1166,Deepak_1166,General,Jaipur,0,Absent,3,22-01-2026
1167,Meera_1167,General,Jaipur,69,Present,2,02-01-2026
1168,Rohit_1168,General,Chennai,37,Present,2,25-01-2026
1169,Ritu_1169,OBC,Lucknow,70,Present,3,23-01-2026
1170,Sahil_1170,OBC,Chennai,0,Absent,1,17-01-2026
1171,Suresh_1171,EWS,Pune,88,Present,3,13-02-2026
1172,Isha_1172,General,Jaipur,0,Absent,2,12-01-2026
1173,Vikas_1173,SC,Bhopal,0,Absent,1,27-02-2026
1174,Simran_1174,EWS,Chennai,0,Absent,3,13-02-2026
1175,Vikas_1175,General,Chennai,0,Absent,1,16-01-2026
1176,Neha_1176,General,Chennai,0,Absent,1,13-01-2026
